Date,CFC11,CFC12,CFC113,SF6,H3
1765-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1766-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1767-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1768-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1769-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1770-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1771-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1772-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1773-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1774-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1775-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1776-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1777-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1778-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1779-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1780-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1781-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1782-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1783-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1784-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1785-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1786-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1787-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1788-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1789-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1790-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1791-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1792-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1793-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1794-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1795-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1796-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1797-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1798-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1799-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1800-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1801-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1802-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1803-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1804-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1805-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1806-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1807-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1808-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1809-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1810-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1811-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1812-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1813-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1814-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1815-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1816-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1817-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1818-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1819-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1820-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1821-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1822-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1823-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1824-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1825-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1826-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1827-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1828-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1829-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1830-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1831-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1832-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1833-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1834-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1835-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1836-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1837-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1838-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1839-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1840-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1841-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1842-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1843-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1844-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1845-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1846-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1847-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1848-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1849-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1850-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1851-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1852-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1853-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1854-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1855-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1856-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1857-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1858-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1859-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1860-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1861-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1862-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1863-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1864-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1865-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1866-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1867-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1868-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1869-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1870-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1871-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1872-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1873-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1874-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1875-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1876-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1877-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1878-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1879-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1880-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1881-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1882-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1883-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1884-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1885-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1886-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1887-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1888-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1889-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1890-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1891-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1892-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1893-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1894-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1895-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1896-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1897-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1898-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1899-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1900-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1901-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1902-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1903-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1904-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1905-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1906-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1907-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1908-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1909-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1910-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1911-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1912-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1913-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1914-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1915-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1916-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1917-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1918-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1919-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1920-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1921-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1922-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1923-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1924-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1925-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1926-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1927-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1928-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1929-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1930-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1931-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1932-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1933-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1934-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1935-12-31,0.0,0.0,0.0,0.0,3.327329892219456
1936-12-31,0.0,0.06666666666666667,0.0,0.0,3.327329892219456
1937-12-31,0.0,0.10000000000000002,0.0,0.0,3.327329892219456
1938-12-31,0.0,0.16666666666666666,0.0,0.0,3.327329892219456
1939-12-31,0.0,0.26666666666666666,0.0,0.0,3.327329892219456
1940-12-31,0.0,0.3666666666666667,0.0,0.0,3.327329892219456
1941-12-31,0.0,0.4666666666666666,0.0,0.0,3.327329892219456
1942-12-31,0.0,0.6333333333333333,0.0,0.0,3.327329892219456
1943-12-31,0.0,0.8333333333333334,0.0,0.0,3.327329892219456
1944-12-31,0.0,1.0999999999999999,0.0,0.0,3.327329892219456
1945-12-31,0.06666666666666667,1.5333333333333332,0.0,0.0,3.327329892219456
1946-12-31,0.10000000000000002,2.1,0.0,0.0,3.327329892219456
1947-12-31,0.10000000000000002,3.033333333333333,0.0,0.0,3.327329892219456
1948-12-31,0.16666666666666666,4.333333333333333,0.0,0.0,3.327329892219456
1949-12-31,0.3333333333333333,5.666666666666667,0.0,0.0,3.327329892219456
1950-12-31,0.6,7.099999999999999,0.0,0.0,3.327329892219456
1951-12-31,0.9066666666666666,8.666666666666666,0.0,0.0,3.327329892219456
1952-12-31,1.3433333333333335,10.4,0.0,0.0,3.3495653488088557
1953-12-31,1.9766666666666666,12.200000000000001,0.0,0.02666666666666667,14.730806925098348
1954-12-31,2.75,14.266666666666666,0.0,0.04,305.375
1955-12-31,3.7533333333333334,16.599999999999998,0.0,0.04,43.333333333333336
1956-12-31,4.926666666666667,19.266666666666666,0.0,0.04,122.5
1957-12-31,6.330000000000001,22.333333333333332,0.0,0.04666666666666667,113.75
1958-12-31,7.703333333333333,25.666666666666668,0.0,0.05000000000000001,415.4166666666667
1959-12-31,9.013333333333334,29.266666666666666,0.0,0.05000000000000001,450.8333333333333
1960-12-31,10.523333333333333,33.5,0.0,0.05000000000000001,126.66666666666667
1961-12-31,12.533333333333333,38.333333333333336,0.06666666666666667,0.056666666666666664,220.83333333333334
1962-12-31,15.209999999999999,43.86666666666667,0.2333333333333333,0.06666666666666667,1018.75
1963-12-31,18.46,50.26666666666667,0.43333333333333335,0.07666666666666667,2608.3333333333335
1964-12-31,22.346666666666664,57.76666666666667,0.7000000000000001,0.08666666666666667,2233.3333333333335
1965-12-31,26.866666666666664,66.33333333333333,1.0,0.10333333333333333,925.0
1966-12-31,31.926666666666666,75.89999999999999,1.36,0.12333333333333334,583.3333333333334
1967-12-31,37.49,86.60000000000001,1.8233333333333333,0.14333333333333334,320.8333333333333
1968-12-31,43.82,98.63333333333333,2.4566666666666666,0.17,266.6666666666667
1969-12-31,51.19,112.13333333333333,3.1566666666666667,0.19999999999999998,221.25
1970-12-31,59.53,126.93333333333334,3.9166666666666665,0.22333333333333336,205.83333333333334
1971-12-31,68.84333333333333,142.93333333333334,4.846666666666667,0.25,182.08333333333334
1972-12-31,79.16,160.20000000000002,5.906666666666666,0.2866666666666667,90.83333333333333
1973-12-31,90.81666666666666,179.23333333333335,7.07,0.32666666666666666,81.66666666666667
1974-12-31,103.85000000000001,200.0,8.463333333333333,0.3666666666666667,78.75
1975-12-31,117.05333333333333,221.16666666666666,10.093333333333334,0.42,66.25
1976-12-31,129.78333333333333,241.46666666666667,11.853333333333333,0.48,56.666666666666664
1977-12-31,142.347,260.26825,13.910000000000002,0.5533333333333333,61.25
1978-12-31,152.9838611111111,277.8744583333333,16.166666666666668,0.6333333333333333,63.333333333333336
1979-12-31,162.85623611111112,295.7418055555556,18.723333333333333,0.7266666666666667,39.416666666666664
1980-12-31,172.1519166666667,312.87723611111113,21.613333333333333,0.84,38.5
1981-12-31,180.11001388888891,329.1061527777778,24.80333333333333,0.96,44.333333333333336
1982-12-31,187.46733333333336,343.8256527777778,28.086666666666662,1.0866666666666667,26.5
1983-12-31,195.7921388888889,359.4401249999999,31.706666666666667,1.2233333333333334,21.666666666666668
1984-12-31,204.32775,374.81845833333335,36.223333333333336,1.3566666666666667,19.916666666666668
1985-12-31,214.21900000000002,391.19834722222225,41.89666666666667,1.5,20.25
1986-12-31,225.05279166666665,410.3081527777778,46.84666666666667,1.6566666666666665,19.583333333333332
1987-12-31,236.71416666666667,430.5295972222222,53.223333333333336,1.8233333333333333,15.633333333333333
1988-12-31,248.6854305555556,453.7200555555555,60.92666666666667,1.9933333333333332,15.508333333333333
1989-12-31,257.517125,474.2440833333333,67.66333333333334,2.1633333333333336,17.125
1990-12-31,263.5584861111111,489.63697222222225,73.64,2.346666666666667,14.166666666666666
1991-12-31,266.97819444444445,500.42008333333325,79.18666666666667,2.5500000000000003,13.608333333333334
1992-12-31,268.65431944444447,510.6441944444444,82.57015151515151,2.7733333333333334,12.733333333333334
1993-12-31,269.8570138888889,518.3633333333333,83.81568686868688,3.01,15.258333333333333
1994-12-31,270.0209861111111,523.6488472222222,84.36252777777779,3.317,13.908333333333333
1995-12-31,268.76425,529.0086666666666,84.48294444444444,3.5408055555555555,12.883333333333333
1996-12-31,267.30544444444445,533.916736111111,84.32475000000001,3.7675694444444443,11.941666666666668
1997-12-31,265.99483333333336,537.4751666666666,83.91947222222223,4.001819444444444,12.608333333333334
1998-12-31,264.6599305555556,540.421736111111,83.37191666666666,4.203541666666667,11.041666666666666
1999-12-31,263.20009722222227,542.6381805555556,82.77765277777779,4.409458333333334,10.15
2000-12-31,261.67900000000003,544.4835694444445,82.20809722222224,4.618736111111112,8.816666666666666
2001-12-31,260.01612500000005,545.5099861111111,81.62934722222222,4.832722222222222,8.85
2002-12-31,258.1785416666667,545.9711944444444,80.96320833333333,5.0560833333333335,8.883333333333333
2003-12-31,256.0555555555556,545.8485555555555,80.28108333333333,5.289625,9.266666666666667
2004-12-31,253.83787500000003,545.1661944444444,79.52766666666666,5.512527777777778,9.491666666666667
2005-12-31,251.79344444444448,544.3304722222222,78.87316666666666,5.732180555555555,8.549999999999999
2006-12-31,249.57309722222223,542.8632777777777,78.19451388888889,5.9660972222222215,8.958333333333334
2007-12-31,247.40315277777776,540.8182083333334,77.45315277777779,6.2367638888888886,7.883333333333333
2008-12-31,245.40402777777774,538.3729305555556,76.6711388888889,6.527888888888889,8.533333333333333
2009-12-31,243.4629583333333,535.8317638888889,76.06894444444445,6.8087638888888895,9.308333333333334
2010-12-31,241.43599999999995,532.8290000000001,75.41133333333333,7.108777777777778,9.191666666666666
2011-12-31,239.42616666666663,529.9596944444445,74.7245138888889,7.385986111111111,8.841666666666667
2012-12-31,237.24362499999998,527.0213333333335,74.04197222222221,7.658263888888889,7.872159814718596
2013-12-31,235.5504861111111,524.1711805555557,73.33179166666666,7.9809722222222215,7.583730861887232
2014-12-31,234.5585,521.6144722222222,72.63594444444443,8.312347222222222,6.700512069390283
2015-12-31,233.68243055555556,519.0848749999999,71.9612361111111,8.637472222222224,8.33318275903518
2016-12-31,232.07465277777774,514.4566388888888,71.57125,8.98925,7.221640246441965
2017-12-31,230.8419444444444,510.11569444444444,71.10491666666667,9.340972222222222,9.121544446179442
2018-12-31,229.86108333333334,506.8665833333334,70.51202777777776,9.671666666666667,6.83666546835003
2019-12-31,227.5453333333334,501.5948333333334,69.62466666666667,10.144916666666663,5.997188929906611
2020-12-31,224.15024999999997,496.2137916666667,68.81029166666667,10.554041666666667,5.997188929906611
