year,cfc11_ppt,cfc12_ppt,cfc113_ppt,sf6_ppt
1765,0.0,0.0,0.0,0.0
1766,0.0,0.0,0.0,0.0
1767,0.0,0.0,0.0,0.0
1768,0.0,0.0,0.0,0.0
1769,0.0,0.0,0.0,0.0
1770,0.0,0.0,0.0,0.0
1771,0.0,0.0,0.0,0.0
1772,0.0,0.0,0.0,0.0
1773,0.0,0.0,0.0,0.0
1774,0.0,0.0,0.0,0.0
1775,0.0,0.0,0.0,0.0
1776,0.0,0.0,0.0,0.0
1777,0.0,0.0,0.0,0.0
1778,0.0,0.0,0.0,0.0
1779,0.0,0.0,0.0,0.0
1780,0.0,0.0,0.0,0.0
1781,0.0,0.0,0.0,0.0
1782,0.0,0.0,0.0,0.0
1783,0.0,0.0,0.0,0.0
1784,0.0,0.0,0.0,0.0
1785,0.0,0.0,0.0,0.0
1786,0.0,0.0,0.0,0.0
1787,0.0,0.0,0.0,0.0
1788,0.0,0.0,0.0,0.0
1789,0.0,0.0,0.0,0.0
1790,0.0,0.0,0.0,0.0
1791,0.0,0.0,0.0,0.0
1792,0.0,0.0,0.0,0.0
1793,0.0,0.0,0.0,0.0
1794,0.0,0.0,0.0,0.0
1795,0.0,0.0,0.0,0.0
1796,0.0,0.0,0.0,0.0
1797,0.0,0.0,0.0,0.0
1798,0.0,0.0,0.0,0.0
1799,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0
1801,0.0,0.0,0.0,0.0
1802,0.0,0.0,0.0,0.0
1803,0.0,0.0,0.0,0.0
1804,0.0,0.0,0.0,0.0
1805,0.0,0.0,0.0,0.0
1806,0.0,0.0,0.0,0.0
1807,0.0,0.0,0.0,0.0
1808,0.0,0.0,0.0,0.0
1809,0.0,0.0,0.0,0.0
1810,0.0,0.0,0.0,0.0
1811,0.0,0.0,0.0,0.0
1812,0.0,0.0,0.0,0.0
1813,0.0,0.0,0.0,0.0
1814,0.0,0.0,0.0,0.0
1815,0.0,0.0,0.0,0.0
1816,0.0,0.0,0.0,0.0
1817,0.0,0.0,0.0,0.0
1818,0.0,0.0,0.0,0.0
1819,0.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0.0
1821,0.0,0.0,0.0,0.0
1822,0.0,0.0,0.0,0.0
1823,0.0,0.0,0.0,0.0
1824,0.0,0.0,0.0,0.0
1825,0.0,0.0,0.0,0.0
1826,0.0,0.0,0.0,0.0
1827,0.0,0.0,0.0,0.0
1828,0.0,0.0,0.0,0.0
1829,0.0,0.0,0.0,0.0
1830,0.0,0.0,0.0,0.0
1831,0.0,0.0,0.0,0.0
1832,0.0,0.0,0.0,0.0
1833,0.0,0.0,0.0,0.0
1834,0.0,0.0,0.0,0.0
1835,0.0,0.0,0.0,0.0
1836,0.0,0.0,0.0,0.0
1837,0.0,0.0,0.0,0.0
1838,0.0,0.0,0.0,0.0
1839,0.0,0.0,0.0,0.0
1840,0.0,0.0,0.0,0.0
1841,0.0,0.0,0.0,0.0
1842,0.0,0.0,0.0,0.0
1843,0.0,0.0,0.0,0.0
1844,0.0,0.0,0.0,0.0
1845,0.0,0.0,0.0,0.0
1846,0.0,0.0,0.0,0.0
1847,0.0,0.0,0.0,0.0
1848,0.0,0.0,0.0,0.0
1849,0.0,0.0,0.0,0.0
1850,0.0,0.0,0.0,0.0
1851,0.0,0.0,0.0,0.0
1852,0.0,0.0,0.0,0.0
1853,0.0,0.0,0.0,0.0
1854,0.0,0.0,0.0,0.0
1855,0.0,0.0,0.0,0.0
1856,0.0,0.0,0.0,0.0
1857,0.0,0.0,0.0,0.0
1858,0.0,0.0,0.0,0.0
1859,0.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0
1861,0.0,0.0,0.0,0.0
1862,0.0,0.0,0.0,0.0
1863,0.0,0.0,0.0,0.0
1864,0.0,0.0,0.0,0.0
1865,0.0,0.0,0.0,0.0
1866,0.0,0.0,0.0,0.0
1867,0.0,0.0,0.0,0.0
1868,0.0,0.0,0.0,0.0
1869,0.0,0.0,0.0,0.0
1870,0.0,0.0,0.0,0.0
1871,0.0,0.0,0.0,0.0
1872,0.0,0.0,0.0,0.0
1873,0.0,0.0,0.0,0.0
1874,0.0,0.0,0.0,0.0
1875,0.0,0.0,0.0,0.0
1876,0.0,0.0,0.0,0.0
1877,0.0,0.0,0.0,0.0
1878,0.0,0.0,0.0,0.0
1879,0.0,0.0,0.0,0.0
1880,0.0,0.0,0.0,0.0
1881,0.0,0.0,0.0,0.0
1882,0.0,0.0,0.0,0.0
1883,0.0,0.0,0.0,0.0
1884,0.0,0.0,0.0,0.0
1885,0.0,0.0,0.0,0.0
1886,0.0,0.0,0.0,0.0
1887,0.0,0.0,0.0,0.0
1888,0.0,0.0,0.0,0.0
1889,0.0,0.0,0.0,0.0
1890,0.0,0.0,0.0,0.0
1891,0.0,0.0,0.0,0.0
1892,0.0,0.0,0.0,0.0
1893,0.0,0.0,0.0,0.0
1894,0.0,0.0,0.0,0.0
1895,0.0,0.0,0.0,0.0
1896,0.0,0.0,0.0,0.0
1897,0.0,0.0,0.0,0.0
1898,0.0,0.0,0.0,0.0
1899,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0
1921,0.0,0.0,0.0,0.0
1922,0.0,0.0,0.0,0.0
1923,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.0,0.0
1925,0.0,0.0,0.0,0.0
1926,0.0,0.0,0.0,0.0
1927,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.0
1929,0.0,0.0,0.0,0.0
1930,0.0,0.0,0.0,0.0
1931,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.0
1933,0.0,0.0,0.0,0.0
1934,0.0,0.0,0.0,0.0
1935,0.0,0.0,0.0,0.0
1936,0.0,0.1,0.0,0.0
1937,0.0,0.1,0.0,0.0
1938,0.0,0.2,0.0,0.0
1939,0.0,0.3,0.0,0.0
1940,0.0,0.4,0.0,0.0
1941,0.0,0.5,0.0,0.0
1942,0.0,0.7,0.0,0.0
1943,0.0,0.9,0.0,0.0
1944,0.0,1.2,0.0,0.0
1945,0.1,1.7,0.0,0.0
1946,0.1,2.3,0.0,0.0
1947,0.1,3.4,0.0,0.0
1948,0.2,4.8,0.0,0.0
1949,0.4,6.1,0.0,0.0
1950,0.7,7.6,0.0,0.0
1951,1.01,9.2,0.0,0.0
1952,1.51,11.0,0.0,0.0
1953,2.21,12.8,0.0,0.04
1954,3.02,15.0,0.0,0.04
1955,4.12,17.4,0.0,0.04
1956,5.33,20.2,0.0,0.04
1957,6.83,23.4,0.0,0.05
1958,8.14,26.8,0.0,0.05
1959,9.45,30.5,0.0,0.05
1960,11.06,35.0,0.0,0.05
1961,13.27,40.0,0.1,0.06
1962,16.18,45.8,0.3,0.07
1963,19.6,52.5,0.5,0.08
1964,23.72,60.4,0.8,0.09
1965,28.44,69.3,1.1,0.11
1966,33.67,79.2,1.49,0.13
1967,39.4,90.3,1.99,0.15
1968,46.03,102.8,2.69,0.18
1969,53.77,116.8,3.39,0.21
1970,62.41,132.0,4.18,0.23
1971,72.06,148.4,5.18,0.26
1972,82.71,166.1,6.27,0.3
1973,94.87,185.8,7.47,0.34
1974,108.34,207.1,8.96,0.38
1975,121.41,228.2,10.66,0.44
1976,133.97,248.1,12.45,0.5
1977,146.5355,266.352375,14.64,0.58
1978,156.20804166666667,283.6355,16.93,0.66
1979,166.18033333333335,301.79495833333334,19.62,0.76
1980,175.13770833333334,318.41837499999997,22.61,0.88
1981,182.59616666666668,334.4500416666667,25.9,1.0
1982,189.90291666666667,348.51345833333335,29.18,1.13
1983,198.73675,364.90345833333333,32.97,1.27
1984,207.12324999999998,379.7759583333334,37.85,1.4
1985,217.76687500000003,396.90954166666666,43.92,1.55
1986,228.69574999999998,417.0074583333333,48.31,1.71
1987,240.72337500000003,437.29066666666665,55.68,1.88
1988,252.66645833333337,461.93475,63.55,2.05
1989,259.9424583333333,480.39875,69.72,2.22
1990,265.3665,494.2560833333333,75.6,2.41
1991,267.78404166666667,503.5020833333333,80.98,2.62
1992,269.08945833333337,514.21525,83.36522727272727,2.85
1993,270.24079166666667,520.437375,84.04091666666667,3.09
1994,269.9110833333333,525.2545833333334,84.52333333333334,3.4305000000000003
1995,268.19083333333333,530.8857083333332,84.46275,3.595958333333333
1996,266.86275,535.43225,84.25575,3.8533749999999998
1997,265.560875,538.496625,83.75133333333333,4.076041666666667
1998,264.2094583333334,541.3842916666666,83.18220833333334,4.267291666666667
1999,262.6954166666667,543.265125,82.57537500000001,4.480541666666667
2000,261.1707916666667,545.0927916666667,82.02445833333334,4.687833333333334
2001,259.4387916666667,545.7185833333333,81.43179166666667,4.905166666666666
2002,257.5484166666667,546.0975000000001,80.72891666666666,5.131541666666667
2003,255.309125,545.7240833333333,80.05716666666666,5.368666666666667
2004,253.10225,544.88725,79.26291666666665,5.584458333333333
2005,251.13904166666669,544.0520833333333,78.67829166666667,5.806041666666666
2006,248.790125,542.268875,77.95262500000001,6.046125
2007,246.70966666666666,540.092875,77.20341666666667,6.332083333333333
2008,244.7512083333333,537.5129583333334,76.40500000000002,6.625791666666667
2009,242.81883333333332,534.9911666666667,75.90091666666666,6.90025
2010,240.74458333333334,531.7479166666667,75.16654166666667,7.213041666666667
2011,238.76695833333335,529.0655833333334,74.5035,7.472458333333334
2012,236.4819583333333,525.9992083333334,73.81120833333333,7.751166666666666
2013,235.08474999999999,523.2571666666668,73.09208333333333,8.095875
2014,234.295375,520.7931249999999,72.40787499999999,8.420583333333333
2015,233.3759583333333,518.23075,71.73791666666666,8.745916666666668
2016,231.424,512.5695833333333,71.48791666666666,9.110916666666666
2017,230.5509166666666,508.88875,70.91341666666666,9.456
2018,229.5161666666667,505.85550000000006,70.31133333333332,9.779499999999999
2019,227.5453333333334,501.5948333333334,69.62466666666667,10.144916666666665
2020,224.85516666666663,497.5635833333334,69.00874999999999,10.453083333333332
2021,223.44533333333334,494.86400000000003,68.61183333333334,10.655
